hrms-attendance  | {"timestamp": "2026-02-23T13:36:45.163989+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "d23395b6-9265-4f39-bcc7-3bfdfa93937e", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.51}
hrms-attendance  | {"timestamp": "2026-02-23T13:37:15.474140+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "bb4f777f-1ac5-4d54-9322-bd99b1435823", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.37}
hrms-attendance  | {"timestamp": "2026-02-23T13:37:45.801999+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "a3b44edf-9c6e-44dc-806b-c1ddaaff76d0", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.63}
hrms-attendance  | {"timestamp": "2026-02-23T13:38:16.161639+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "f1fc82f0-9acd-4507-8b58-48941b44ed80", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 1.0}
hrms-attendance  | {"timestamp": "2026-02-23T13:38:46.651432+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "ed321c6a-fa2b-4321-8858-74534a83bd8f", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 1.19}
hrms-attendance  | {"timestamp": "2026-02-23T13:39:17.019472+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "e824cef2-206c-4a93-8c47-d5fd390e7172", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.63}
hrms-attendance  | {"timestamp": "2026-02-23T13:39:47.362852+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "d048aeed-9b74-48cd-a6a4-a06e7d19b9af", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 1.3}
hrms-attendance  | {"timestamp": "2026-02-23T13:40:17.745626+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "7fc362a8-038f-44f7-ad5b-9a5d7364fccf", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.55}
hrms-attendance  | {"timestamp": "2026-02-23T13:40:24.454634+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "28e6c87d-59d9-476e-9388-4a95307e347c", "method": "OPTIONS", "path": "/api/v1/attendance/clock-in", "status_code": 200, "duration_ms": 9.74}
hrms-attendance  | {"timestamp": "2026-02-23T13:40:24.673158+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "8257c30b-dbcc-45b7-b75f-efdb3cdb3414", "method": "POST", "path": "/api/v1/attendance/clock-in", "status_code": 401, "duration_ms": 211.38}
hrms-attendance  | {"timestamp": "2026-02-23T13:40:31.485750+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "eb773b55-efc1-4091-aa71-363ab43f8f4e", "method": "OPTIONS", "path": "/api/v1/attendance/policies", "status_code": 200, "duration_ms": 0.37}
hrms-attendance  | {"timestamp": "2026-02-23T13:40:31.505396+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "31ec5e30-d248-4025-832e-136ae47b6845", "method": "GET", "path": "/api/v1/attendance/policies", "status_code": 401, "duration_ms": 11.36}
hrms-attendance  | {"timestamp": "2026-02-23T13:40:32.192527+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "5dcbe6f8-de8b-4220-a9b7-317c6de9cca9", "method": "GET", "path": "/api/v1/attendance/policies", "status_code": 401, "duration_ms": 3.93}
hrms-attendance  | {"timestamp": "2026-02-23T13:40:48.078823+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "1237eede-4028-462a-8db0-1cae7d67f2d2", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.64}
hrms-attendance  | {"timestamp": "2026-02-23T13:41:18.408635+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "454c207f-5d52-4c11-9068-47b61351e976", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.46}
hrms-attendance  | {"timestamp": "2026-02-23T13:41:48.761463+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "1592ee64-da65-4556-b34d-e682083784b1", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.87}
hrms-attendance  | {"timestamp": "2026-02-23T13:42:09.139054+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "88899ac8-1a0e-4d95-8f93-1495be846e65", "method": "OPTIONS", "path": "/api/v1/attendance", "status_code": 200, "duration_ms": 0.48}
hrms-attendance  | {"timestamp": "2026-02-23T13:42:09.201323+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "dbc7c75f-d457-4bc5-a16c-841296b85967", "method": "GET", "path": "/api/v1/attendance", "status_code": 401, "duration_ms": 57.49}
hrms-attendance  | {"timestamp": "2026-02-23T13:42:19.135929+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "4bedab65-44ad-4444-a092-79097d1d0d89", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.44}
hrms-attendance  | {"timestamp": "2026-02-23T13:42:49.584215+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "933f1893-0162-49d0-b05d-ef1a8ddecebb", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.45}
