hrms-attendance  | {"timestamp": "2026-02-23T12:43:30.124715+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "1cdd0592-9b43-4e5e-968c-470d4c2ffb5e", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.65}
hrms-attendance  | {"timestamp": "2026-02-23T12:44:00.493014+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "0955e8c0-cf57-4899-8948-9888e49f2373", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.61}
hrms-attendance  | {"timestamp": "2026-02-23T12:44:30.834202+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "862d88dc-8390-4327-afe5-d04a7388afe7", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.57}
hrms-attendance  | {"timestamp": "2026-02-23T12:45:01.155283+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "5f905fbe-c722-4774-a05e-274701586f03", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.46}
hrms-attendance  | {"timestamp": "2026-02-23T12:45:31.524403+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "c48c07d0-fb5d-407d-8adc-dc9f507d3420", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.92}
hrms-attendance  | {"timestamp": "2026-02-23T12:46:02.087039+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "bcd7f5df-c1e2-4b65-a882-c6f888fdbcb4", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.85}
hrms-attendance  | {"timestamp": "2026-02-23T12:46:32.449301+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "f5011f72-44d5-41f0-8e8d-9462bb043752", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.74}
hrms-attendance  | {"timestamp": "2026-02-23T12:47:02.895314+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "52b42ac2-9efa-4a7d-a1b4-428562878d6b", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.53}
hrms-attendance  | {"timestamp": "2026-02-23T12:47:33.242112+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "ff67fa72-a0d8-4fbc-a2df-29ae5f67dca5", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.5}
hrms-attendance  | {"timestamp": "2026-02-23T12:48:03.711247+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "69da9b20-b838-4106-b241-3b73b1bc1b08", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 1.17}
hrms-attendance  | {"timestamp": "2026-02-23T12:48:34.109279+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "84b57835-ea66-49b5-be8f-2bfa1b9ddada", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.46}
